,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55,V56,V57,V58,V59,V60,V61,V62,V63,V64,V65,V66,V67,V68,V69,V70,V71,V72,V73,V74
1,0.999624982,0.214778645,0.139593737,0.573505957,0.520702116,0.242777412,0.384747801,0.220006259,0.037864442,0.571218001,0.778612288,0.01126146,-0.038498195,-0.035602495,0.154947007,-0.024389983,0.302349502,-0.059425377,0.182402792,-0.00277561,0.09922631,-0.034738612,0.258122241,0.014408804,0.001464695,0.082007025,0.048995632,-0.036384036,-0.000925333,0.469768218,0.431440194,-0.048229734,-0.02089965,0.244695416,0.046916312,0.336801486,-0.060042198,0.336529621,0.060725177,0.086785354,-0.036931891,0.063154167,-0.017365414,-0.041669998,-0.033010317,-0.030548508,-0.049364814,-0.011996074,0.330932215,0.778561855,0.274616997,0.392765189,-0.038684098,0.092608423,0.718978318,0.17524466,-0.039244668,0.13363398,0.010294499,0.159097463,-0.006526925,-0.017374229,0.34203955,-0.058480143,-0.042534966,0.461054174,-0.03189207,0.279043527,0.204764731,0.038094003,0.11978442,0.05478798,0.995110047,-0.059971714
2,0.371851926,1.36973308,-0.816991928,0.836900347,0.850470016,0.53690889,0.703914593,0.516066569,0.325779792,0.882255757,1.05154933,0.327542229,-0.190128114,-0.651900212,-0.587196625,-0.455631188,-0.331136552,-0.511192812,-0.492949792,-0.506054106,-0.366271076,-0.491803116,-0.564605761,-0.584043582,-0.492136939,-0.223024729,-0.622618759,-0.618200288,-0.352813695,-0.314523503,-0.164938416,-0.2767116,-0.528589016,-0.516287093,-0.294857891,-0.308618052,-0.507132551,-0.228841108,-0.339859777,-0.655006672,-0.649404226,-0.734464923,-0.679444763,-0.674319884,-0.606449906,-0.550550746,-0.645748883,-0.456614985,-0.210027674,1.104600093,-0.780535546,-0.75362645,-0.498419085,-0.080035084,0.819877661,-0.808811465,-0.707834644,-0.853585569,-0.656325818,-0.882332291,-0.635750714,-0.79614081,-0.304629468,-0.49864,-0.349658248,-0.669204554,-0.647809999,0.622718636,0.211696882,-0.300938962,-0.066673834,0.382848437,1.343250851,-0.152042842
3,1.336869253,1.016893774,2.333109386,1.815938583,1.831111389,1.526428685,1.710907923,1.505577999,1.322753652,1.845042614,2.026028842,1.291184492,0.791482352,0.3033825,0.395785529,0.508106893,0.650153096,0.463018662,0.473746148,0.460170313,0.606970394,0.478860098,0.403257255,0.378921053,0.474335703,0.748296345,0.342894991,0.353359351,0.620669571,0.653276945,0.801335534,0.697133177,0.441330884,0.457710172,0.67823381,0.661236068,0.469712951,0.742879265,0.630369541,0.3174824,0.318808097,0.233418051,0.294606919,0.295494785,0.366086938,0.420516512,0.33128401,0.521575683,0.755503799,2.070889859,0.186464567,0.217073231,0.47010239,0.888508316,1.789375284,0.0481411,0.129987063,-0.029886095,0.16473801,-0.064983749,0.190904324,0.03449417,0.546335898,0.330619677,0.613419278,0.002377943,0.320922472,1.545599813,0.98210367,0.684399614,0.460516397,0.949432515,2.301109725,0.851506106
4,-0.444092201,-0.704681629,-1.236645848,0.553069399,0.057558009,-0.25275865,-0.069160031,-0.268109791,-0.468716434,0.084940506,0.260640469,-0.473751577,-0.915505367,-1.37873837,-1.287770747,-1.159616525,-1.026291928,-1.196285291,-1.203792685,-1.1624742,-1.091149301,-1.20227959,-1.231787178,-1.262668358,-1.184289325,-0.898764693,-1.299505538,-1.271814911,-1.038898223,-1.003485025,-0.877683231,-1.011448108,-1.23807183,-1.197912904,-0.986485271,-0.997210371,-1.20395729,-0.93405406,-0.99151252,-1.388229819,-1.365516727,-1.404240473,-1.352579341,-1.384341218,-1.263047986,-1.214512297,-1.33742734,-1.16088409,-0.928515299,0.287811581,-0.921661991,-0.888441556,-1.189153777,-0.76168332,0.13225769,-1.173555318,-1.182723076,-1.195332996,-1.182827924,-1.227853477,-1.18307571,-1.223573233,-0.850991958,-1.215962576,-0.928814562,-0.991980989,-0.885118321,-0.240989751,-0.814801538,-0.878236556,-0.99835404,-0.848234381,0.540008053,-0.97891126
5,-0.456038655,-0.712376361,-1.243023498,0.036480372,0.542530581,-0.260427721,-0.092032749,-0.161708989,-0.477736027,0.086877899,0.259870782,-0.476774521,-0.924740867,-1.389913093,-1.299474794,-1.169196989,-1.036234999,-1.204194645,-1.215269257,-1.174703525,-1.103164216,-1.213414163,-1.24825267,-1.278437148,-1.197668702,-0.909832194,-1.310938229,-1.283540377,-1.050694218,-1.017551556,-0.89200942,-1.018581767,-1.248574385,-1.208045667,-0.997327356,-1.007359232,-1.212812928,-0.945307638,-1.0017095,-1.400981172,-1.376538676,-1.415193345,-1.366981188,-1.39598542,-1.274544356,-1.22558956,-1.348915445,-1.169507924,-0.942136141,0.288851541,-0.930728245,-0.900175362,-1.201228511,-0.77289219,0.118755803,-1.185703212,-1.171333673,-1.206903691,-1.194464731,-1.237689617,-1.194519625,-1.202154424,-0.863353836,-1.227301409,-0.940233682,-1.003979669,-0.896500313,-0.253549518,-0.823157347,-0.772182857,-1.003514809,-0.858592909,0.530047419,-0.995207469
6,-0.141375005,-0.406497824,-0.931689481,0.3457028,0.359111366,0.852300125,0.238462608,0.041917428,-0.144532259,0.38404669,0.564723458,-0.165693217,-0.610342833,-1.079812851,-0.986237375,-0.858411273,-0.723889239,-0.892149748,-0.902888148,-0.863830415,-0.7900302,-0.900991755,-0.935613971,-0.965752168,-0.887506954,-0.595103913,-1.000332395,-0.966810448,-0.738275597,-0.7046189,-0.581574367,-0.711587477,-0.938976513,-0.897262455,-0.688017847,-0.698463079,-0.901585151,-0.634048578,-0.692642527,-1.087277116,-1.064635213,-1.102991566,-1.050092009,-1.084620913,-0.960787021,-0.912000503,-1.03448727,-0.85812124,-0.631778128,0.588625354,-0.625685383,-0.591124769,-0.887316311,-0.462900627,0.429045858,-0.875672485,-0.885046498,-0.894101333,-0.880894463,-0.929162513,-0.877790358,-0.924783455,-0.554761724,-0.918441825,-0.630472649,-0.694469422,-0.587465886,0.054951141,-0.517496338,-0.576457081,-0.697154238,-0.55244126,0.839543086,-0.688570167
7,-0.313135009,-0.573727075,-1.081899596,0.19495219,0.193157108,-0.095886622,0.68512551,-0.131875324,-0.295428276,0.219607185,0.406479901,-0.333720698,-0.780851351,-1.245701575,-1.152925357,-1.023421798,-0.888495143,-1.059378326,-1.068361058,-1.027402701,-0.958591565,-1.067655755,-1.104480183,-1.127131857,-1.054200145,-0.76456185,-1.166334361,-1.135787148,-0.903251469,-0.873020773,-0.747691911,-0.876767482,-1.103450742,-1.063919008,-0.852320514,-0.863821167,-1.069952491,-0.803138309,-0.856610171,-1.254936924,-1.231396228,-1.273286166,-1.22101519,-1.252812735,-1.129755838,-1.080873098,-1.204095848,-1.027446326,-0.797917932,0.419912865,-0.790900104,-0.757608346,-1.053893071,-0.630495416,0.262884093,-1.043019383,-1.054756544,-1.063787313,-1.048869385,-1.092995487,-1.047710288,-1.092533023,-0.719608532,-1.08629354,-0.797010907,-0.859646809,-0.753105874,-0.1145657,-0.684160142,-0.748686538,-0.869629358,-0.72228017,0.672480451,-0.850654642
8,-0.115731265,-0.365463211,-0.889829713,0.392199893,0.519678332,0.103765661,0.26432214,0.883224241,-0.127464548,0.422689119,0.606023564,-0.135898242,-0.57486888,-1.049999614,-0.948436119,-0.82892301,-0.686909555,-0.857724254,-0.875517333,-0.834684987,-0.75926916,-0.870389166,-0.905829471,-0.938204387,-0.85636064,-0.564507387,-0.97020491,-0.938756096,-0.706436085,-0.674483264,-0.549781979,-0.677086815,-0.907017206,-0.86542526,-0.657893299,-0.662629754,-0.872624383,-0.604618053,-0.662661671,-1.058555128,-1.035565884,-1.071369724,-1.024441643,-1.054101961,-0.933508522,-0.883197786,-1.008244579,-0.828980032,-0.598164366,0.634246708,-0.587429045,-0.550649013,-0.861654338,-0.432638635,0.459232199,-0.844607163,-0.825146543,-0.865552919,-0.853216221,-0.891633758,-0.852549157,-0.79615199,-0.522657423,-0.885889455,-0.599316924,-0.662341082,-0.556573512,0.093422988,-0.479275805,-0.432467989,-0.6532191,-0.511905898,0.8704622,-0.620785135
9,0.061777466,-0.199766826,-0.72532387,0.547651465,0.559709508,0.273374189,0.456827402,0.228593667,1.061253349,0.591879962,0.771107665,0.045649383,-0.406328218,-0.87073156,-0.782838469,-0.649445337,-0.519858012,-0.683771373,-0.696287719,-0.655446,-0.583979199,-0.690244257,-0.723630563,-0.757292789,-0.677905819,-0.389871898,-0.788310158,-0.760313126,-0.533188083,-0.497869255,-0.373373227,-0.500486294,-0.729643893,-0.691301804,-0.476635427,-0.489535516,-0.687929153,-0.426661682,-0.480687449,-0.880614056,-0.856843805,-0.894311147,-0.846598861,-0.876638906,-0.75351995,-0.705820053,-0.827706204,-0.651227139,-0.421819326,0.794971059,-0.417941761,-0.384657286,-0.682944449,-0.253918057,0.636635324,-0.667552986,-0.679219827,-0.687988222,-0.675891613,-0.71906575,-0.674073374,-0.721145869,-0.347163241,-0.710715411,-0.421195366,-0.487263868,-0.379118038,0.258217014,-0.307231841,-0.378752637,-0.496295185,-0.344541635,1.048043427,-0.499400578
10,-0.479772294,-0.752119597,-1.298946058,-0.007448245,0.015566785,-0.306803512,-0.136893786,-0.330009315,-0.516876687,0.506875024,0.224384893,-0.501443852,-0.962559033,-1.425032447,-1.337780931,-1.204262521,-1.07388485,-1.242369168,-1.25030361,-1.210129523,-1.140248667,-1.249086553,-1.284275891,-1.314515226,-1.233450892,-0.94705555,-1.347113373,-1.3192181,-1.088178045,-1.053563065,-0.928590377,-1.056651081,-1.284400731,-1.246838876,-1.033347483,-1.046037649,-1.25059613,-0.981669635,-1.038525978,-1.438389376,-1.411918979,-1.453245347,-1.40400272,-1.431727231,-1.309827493,-1.261757398,-1.386121336,-1.20786731,-0.978806774,0.240284766,-0.972296993,-0.939257503,-1.234548154,-0.809322488,0.081843283,-1.211364913,-1.232042998,-1.241667479,-1.230082431,-1.274901533,-1.227202457,-1.275316947,-0.899810031,-1.264432868,-0.975735878,-1.040958377,-0.933400657,-0.295962197,-0.860947649,-0.934504718,-1.051174463,-0.899314299,0.493777922,-1.055181938
